site,lower,upper,range
1,-0.6807800011866246,3.212626487793679,3.8934064889803035
2,-0.6807800011866246,3.212626487793679,3.8934064889803035
3,-0.6807800011866246,3.212626487793679,3.8934064889803035
4,-0.6807800011866246,3.212626487793679,3.8934064889803035
5,-0.6807800011866246,3.212626487793679,3.8934064889803035
