site,date,value,variance,lower,upper
1,2021-01-29,-0.13757183215248198,0.0061896041116207955,-0.29177294484367644,0.01662928053871246
1,2021-01-30,-0.12510355874916873,0.006093849124114917,-0.2781072541136921,0.02790013661535462
1,2021-01-31,-0.1122269552438613,0.006001943504937033,-0.2640724891543656,0.03961857866664299
1,2021-02-01,-0.09895623275515912,0.0059149902918747424,-0.24969782192439277,0.051785356414074515
1,2021-02-02,-0.08530908318426998,0.005833933135048373,-0.23501425187126568,0.0643960855027257
1,2021-02-03,-0.07130638238889277,0.0057595632662072686,-0.2200542840327877,0.07744151925500219
1,2021-02-04,-0.05697223617194007,0.005692503647973675,-0.20485165331325716,0.09090718096937704
1,2021-02-05,-0.04233427162839668,0.005633189230753893,-0.18944123865873197,0.10477269540193862
1,2021-02-06,-0.027423032847991167,0.005581889490275113,-0.17385863871569288,0.11901257301971055
1,2021-02-07,-0.012271991696418369,0.005538702260241323,-0.1581400094485736,0.13359602605573684
1,2021-02-08,0.003082498665763063,0.005503557026103986,-0.14232198775567123,0.14848698508719738
1,2021-02-09,0.018601720012445394,0.005476233689388478,-0.12644137475995243,0.16364481478484322
1,2021-02-10,0.03424477830306279,0.005456372084744955,-0.11053505109577376,0.17902460770189932
1,2021-02-11,0.04996870858855466,0.005443486817171957,-0.0946400703871624,0.1945774875642717
1,2021-02-12,0.06572932213344274,0.005436991330165217,-0.0787931532603959,0.21025179752728138
1,2021-02-13,0.08148114263267524,0.005436213083584072,-0.06303098897535471,0.2259932742407052
1,2021-02-14,0.09717819267730582,0.005440415681497849,-0.04738978746367195,0.2417461728182836
1,2021-02-15,0.11277403149220472,0.005448821228270536,-0.03190558569875998,0.25745364868316944
1,2021-02-16,0.12822266305492575,0.005460627782724733,-0.01661361586066687,0.2730589419705184
1,2021-02-17,0.14347853630679341,0.0054750341703972884,-0.0015486724128059015,0.2885057450263927
1,2021-02-18,0.15849734717544425,0.005491253696895914,0.013255479237871431,0.30373921511301705
1,2021-02-19,0.1732361850632226,0.005508537134701543,0.027765926052421896,0.3187064440740233
1,2021-02-20,0.18765408915669005,0.005526185713761841,0.04195098336279324,0.33335719495058685
1,2021-02-21,0.20171231179646654,0.005543568324759992,0.05578023144263214,0.34764439215030096
1,2021-02-22,0.21537506929373296,0.00556011912474427,0.06922530490932627,0.36152483367813965
1,2021-02-23,0.22860933946467768,0.00557536296640744,0.08225936723457844,0.3749593116947769
1,2021-02-24,0.24138543112329186,0.005588911752385376,0.09485774299588143,0.38791311925070227
1,2021-02-25,0.253677161661987,0.005600469106330959,0.10699804890600864,0.4003562744179654
1,2021-02-26,0.2654621789170349,0.005609825104458174,0.11866059813097346,0.4122637597030963
