stats,fit,fit_clim,fore,fore_clim,change,type,roi
nRMSE,0.11314241953350285,0.10539054021066238,0.15671431150732262,0.1669710555574379,0.043571891973819776,GR,butte_GR_1000
corr,0.9551870918483685,0.9732259987516998,0.954007965528552,0.9680547646379625,-0.001179126319816426,DN,canadaOBS_DN_1000
R2,0.9123823804337434,0.9471688446462436,0.9101311982919269,0.937130027338261,-0.002251182141816521,DN,canadaOBS_DN_1000
RMSE,0.00851950089044867,0.006601597804979307,0.011048267052295363,0.008578555708640896,0.0025287661618466923,DN,canadaOBS_DN_1000
nRMSE,0.09857110830092179,0.07638086086982884,0.1278290761575305,0.09925437589541704,0.02925796785660871,DN,canadaOBS_DN_1000
corr,0.9516808040978701,0.9582393742565224,0.9562024141886485,0.952573740244223,0.0045216100907783385,EN,canadaOBS_EN_1000
R2,0.9056963528883687,0.9182226983755317,0.9143230569001997,0.9073967306028684,0.008626704011830966,EN,canadaOBS_EN_1000
RMSE,0.006739925693508103,0.006273372077236571,0.007975568362170641,0.008062507293893418,0.001235642668662538,EN,canadaOBS_EN_1000
nRMSE,0.09318299037063602,0.08673264312507355,0.11026639516342653,0.11146837126909191,0.01708340479279051,EN,canadaOBS_EN_1000
corr,0.9471307819543864,0.9541842030495502,0.9523539230523139,0.9483612622404965,0.005223141097927542,EN,canadaOBS_EN_2000
R2,0.8970567181255275,0.9104674933493052,0.9069779947531328,0.8993890837183878,0.009921276627605335,EN,canadaOBS_EN_2000
RMSE,0.006962239295742597,0.006486486656508616,0.008309297913136357,0.008362458359589247,0.0013470586173937593,EN,canadaOBS_EN_2000
nRMSE,0.09597793349521089,0.08941944660199362,0.11454780690841408,0.11528065011840706,0.018569873413203195,EN,canadaOBS_EN_2000
corr,0.8760985397915472,0.8934648282573242,0.8510162166459055,0.850506192227297,-0.025082323145641627,DB,caryinstitute_DB_1000
R2,0.7675486514248813,0.7982793993328899,0.724228600994311,0.7233607830169757,-0.0433200504305703,DB,caryinstitute_DB_1000
RMSE,0.009089133724960933,0.008439732399723909,0.008366562409134018,0.009354252886719004,-7.225713158269149e-4,DB,caryinstitute_DB_1000
nRMSE,0.12871939224155854,0.11952263637517571,0.11848641037124025,0.13247398298758006,-0.010232981870318292,DB,caryinstitute_DB_1000
corr,0.8917220302973222,0.9016906485036545,0.7514331362052847,0.7128725000040929,-0.14028889409203749,GR,cperuvb_GR_1000
R2,0.7951681793175787,0.8130460255989415,0.5646517581873098,0.5081872012620854,-0.23051642113026882,GR,cperuvb_GR_1000
RMSE,0.004672344581998489,0.004453165724755116,0.007218287253438346,0.007651078496365903,0.0025459426714398575,GR,cperuvb_GR_1000
nRMSE,0.11269523835018064,0.10740872466847845,0.17410244219581156,0.18454120830597934,0.06140720384563092,GR,cperuvb_GR_1000
corr,0.9843365056634731,0.9848764866242257,0.9826306932010057,0.9769224098286354,-0.001705812462467371,DB,downerwoods_DB_1000
R2,0.9689183563817765,0.9699816939052784,0.965563079220689,0.9543773948253883,-0.003355277161087522,DB,downerwoods_DB_1000
RMSE,0.006576979471088413,0.006430922859475087,0.006770388716313743,0.007913218637899212,1.9340924522532991e-4,DB,downerwoods_DB_1000
nRMSE,0.06507640560911898,0.06363123775645585,0.06699010756701095,0.07829792201987042,0.001913701957891964,DB,downerwoods_DB_1000
corr,0.9875771537338126,0.9841253006406212,0.9816230616488076,0.97916209187429315,-0.0059540920850049694,DB,dukehw_DB_1000
R2,0.9753086345769785,0.968502607360993,0.9635838351607786,0.9587584021636417,-0.01172479941619986,DB,dukehw_DB_1000
RMSE,0.00708775269287301,0.007896389845554663,0.008612602803886952,0.009235823721526011,0.0015248501110139423,DB,dukehw_DB_1000
nRMSE,0.05816164621643162,0.06479727107944708,0.07067446890267717,0.07578857997526736,0.012512822686245553,DB,dukehw_DB_1000
corr,0.4914765958197158,0.7034125946235266,0.3982523896748185,0.452953185732176,-0.09322420614489729,EB,elverde_EB_1000
R2,0.2415492442385363,0.4947892782750018,0.1586049658817038,0.2051665884649268,-0.08294427835683249,EB,elverde_EB_1000
RMSE,0.00952570987248925,0.007329612588642627,0.013518565712313274,0.013703028058709755,0.003992855839824025,EB,elverde_EB_1000
nRMSE,0.2027350673070541,0.15599567080923302,0.28771475997772245,0.29164066016919393,0.08497969267066835,EB,elverde_EB_1000
corr,0.7844931135439939,0.8205907340716743,0.8022815959819188,0.7925998302031682,0.01778848243792497,WL,gcesapelo_WL_1000
R2,0.6154294451979492,0.6733691528442892,0.6436557592512948,0.6282144908380911,0.028226314053345636,WL,gcesapelo_WL_1000
RMSE,0.01114152366943952,0.01025070807218472,0.00944073232280445,0.009775321985371956,-0.0017007913466350697,WL,gcesapelo_WL_1000
nRMSE,0.18049749370312773,0.16606589642553252,0.15294393958542232,0.1583644365752607,-0.02755355411770541,WL,gcesapelo_WL_1000
corr,0.645699330073613,0.7590932834042118,0.6951214762000764,0.5532276325983715,0.04942214612646334,EN,goodnow_EN_1000
R2,0.4169276248575126,0.576222612909387,0.4831938666745732,0.3060608134703987,0.06626624181706059,EN,goodnow_EN_1000
RMSE,0.020420003905900038,0.016995616691788885,0.018186949717098683,0.02150974953569255,-0.0022330541888013547,EN,goodnow_EN_1000
nRMSE,0.2336171049091621,0.19444005916837004,0.20806962425749,0.24608444920021685,-0.02554748065167209,EN,goodnow_EN_1000
corr,0.5735033846119957,0.621866518542436,0.5946757206332408,0.6322070228559786,0.02117233602124513,AG,goodwater_AG_1000
R2,0.3289061321614147,0.38671796688408994,0.35363921271066423,0.3996857197484199,0.024733080549249553,AG,goodwater_AG_1000
RMSE,0.027390274034702802,0.02503367025225519,0.03446868391755846,0.04127817348870198,0.007078409882855657,AG,goodwater_AG_1000
nRMSE,0.19044465520721035,0.17405918223824254,0.2396608597565995,0.287007260594739,0.04921620454938916,AG,goodwater_AG_1000
corr,0.881807852127607,0.9618552530565007,0.8785528477929149,0.9573727911451848,-0.0032550043346921687,SH,grandteton_SH_1000
R2,0.7775850880739036,0.9251655278323851,0.7718551063650404,0.9165626612251216,-0.0057299817088631855,SH,grandteton_SH_1000
RMSE,0.005808029714740869,0.003303578589131069,0.005947536605602444,0.003677490204465811,1.395068908615748e-4,SH,grandteton_SH_1000
nRMSE,0.14344355926749483,0.08158998738283692,0.14688902458884762,0.09082465311103503,0.0034454653213527864,SH,grandteton_SH_1000
corr,0.9471618859847821,0.9626089435096805,0.9494608095418907,0.9609677208355684,0.0022989235571085898,DB,harvard_DB_1000
R2,0.8971156382622495,0.9266159781248232,0.9014758288559425,0.9234589604879068,0.00436019059369297,DB,harvard_DB_1000
RMSE,0.011795135280909922,0.009906269985492428,0.011445879050138646,0.010808816731036138,-3.4925623077127627e-4,DB,harvard_DB_1000
nRMSE,0.10944323566824952,0.09191706706155872,0.10620260035016468,0.10029150566032755,-0.003240635318084842,DB,harvard_DB_1000
corr,0.8331007306844098,0.9662925335877852,0.8304336881092652,0.9598512992165723,-0.002667042575144607,DB,harvardbarn_DB_1000
R2,0.6940568274668975,0.9337212604675009,0.6896201103467565,0.9213145166077419,-0.004436717120140932,DB,harvardbarn_DB_1000
RMSE,0.03007526865047421,0.009806384351127403,0.030106664013927878,0.014582078377469148,3.13953634536665e-5,DB,harvardbarn_DB_1000
nRMSE,0.24753307531254495,0.08071098231380579,0.24779147336566154,0.1200171059874004,2.583980531165875e-4,DB,harvardbarn_DB_1000
corr,0.9144251057294729,0.9222438369122777,0.9263511692165364,0.9239625803741095,0.011926063487063487,EN,harvardbarn_EN_1000
R2,0.8361732739883576,0.8505336947226799,0.8581264887088441,0.8537068499315829,0.021953214720486502,EN,harvardbarn_EN_1000
