stats,theo_mismatch,est_mismatch,model_predskill
corr,0.902974166041947,0.9299444604149094,0.9782885668533751
R2,0.8153623445391498,0.864796699456377,0.9570485200360305
RMSE,0.17709166477534533,0.14839504650040547,0.08338893874969636
nRMSE,0.17232868297338072,0.1444038766908057,0.08114614545813292
