stats,theo_mismatch,est_mismatch,model_predskill
corr,0.9553840341082911,0.9710741954714487,0.9818221508289899
R2,0.9127586526290322,0.9429850931105214,0.9639747358584637
RMSE,0.13350560286898724,0.1035357049592437,0.0800037125616005
nRMSE,0.11983163160826373,0.0929313241419026,0.07180953611649615
