stats,theo_mismatch,est_mismatch,model_predskill
corr,0.987502452898543,0.9836303613110564,0.9851010238584458
R2,0.9751610944806391,0.9675286876929193,0.9704240272069581
RMSE,0.06591985944289187,0.0716173901453977,0.0349224665490589
nRMSE,0.07319440011080112,0.07952067788819941,0.038776311282373535
