site,lower,upper,range
1,-0.0025125857842467495,0.9662661479617662,0.968778733746013
2,-0.005970053021672072,0.9463035550352761,0.9522736080569482
3,-0.011873142356897078,0.9116683421525056,0.9235414845094027
4,-0.018378770687990854,0.8604210117709197,0.87879978245891055
5,-0.023997728426441,0.809600586680883,0.833598315107324
