1,2,3,4,5
-10.569623082875447,-29.342446231201592,-20.94069165421517,-13.206247754126638,-36.965955067138346
-37.12084789621039,-10.785518474712783,-43.90120166261917,-143.15833716419968,-40.10257224896044
-11.570322366914386,-142.97009225103903,-32.64321394356689,-155.68101757613897,-144.12885582854935
-156.28836439332306,-173.75215340506247,-176.5295705824173,-175.06282880309408,-174.86530233840284
-32.63897654254586,-146.3269599395561,-44.276437238586965,-37.10203566769259,-157.9248929622101
-169.13070890978048,-175.26840098949555,-116.13773892132043,-175.11661856554176,-174.25094017140543
-131.5458435693575,-25.143838936509326,-117.28616910307885,-34.186622564895806,-106.86231322159891
-158.40452635100408,-141.32196552303225,-185.89873138645672,-184.02391805354068,-141.21493653886125
-159.43484609886485,-156.95052079585216,-161.79832874431864,-185.98834511144705,-158.18534968231234
-21.468798723505625,-6.657740350181542,-12.013149803304563,-39.32083755318114,-177.06523865243284
-171.62829572295013,-163.82484729692638,-179.97655131343672,-162.98523868999067,-177.49994296151056
-174.48380746405127,-159.01821059379796,-176.16707350767174,-175.73297914911484,-174.9889690589265
-5.12363797700687,-5.616533586137411,-5.504011310899623,-5.486082201149185,-5.508012084166599
-157.33066881031294,-160.09561836511457,-174.32535695148403,-174.6212002066829,-175.83771880819816
-177.47608686862313,-176.28533124423222,-175.8445144755372,-174.98889111110668,-175.93880661296092
-171.4505812045186,-164.61833978196117,-175.3602839369547,-163.7413427311595,-156.64636271703725
-26.02796722871244,-41.83271058698313,-29.585437273044974,-184.72458108484025,-47.95416377663183
-4.2793336883298565,-4.1534579848311886,-3.768076310677043,-3.7327798776684777,-4.269207294742274
-4.998792181079788,-4.817291895071637,-4.981090965583983,-4.887140395890738,-4.9918381607332405
-4.949561326387686,-4.408657718937065,-4.358167737195257,-4.84993386585832,-4.218130201599501
-6.286841338996815,-6.3559519623319165,-9.317054543759385,-6.279607503193609,-6.371721714656841
-6.863118176402166,-7.6951167628159665,-6.879304208854462,-11.076092943541948,-24.540104207419983
-39.44275843351872,-179.95005393290646,-174.48999251474444,-175.14929980978562,-174.9516871340782
-24.33721014480367,-159.65341383046186,-185.93182040178078,-185.29966452470316,-158.97808005424113
-155.64780702646416,-175.25434730995144,-174.86316138975909,-163.56616918496127,-174.55318386108377
-175.37069907327665,-174.13584661226946,-173.955355673909,-163.3572707675652,-161.35378528229418
-6.669773365720116,-7.453974885540241,-6.772090055855578,-7.18315476295237,-6.4438524162565205
-19.40408460646807,-9.751949159546307,-27.217466684128595,-9.871956515126248,-7.312653072448591
-6.672569895777488,-9.340352019372501,-10.181325970021534,-9.617320653278211,-6.644729207561806
-122.1546241572696,-26.958352983633496,-68.58678141412544,-117.57241051009824,-14.714552085950556
-158.49280670623696,-175.3375198317471,-174.2507210219396,-166.74395746109406,-174.4645609849053
-154.97741871008935,-158.19227444370367,-150.5205696610696,-156.29272061779417,-158.17898766033207
-12.165587806520552,-159.0626826230454,-16.66108962734263,-157.59274771791988,-164.92177286397336
-167.65757254221987,-175.05917000181418,-175.44779701628042,-176.47989726786295,-176.00162719639877
-143.83269088494455,-11.71080339034554,-13.1583858581682,-17.90312025314177,-28.58635462113053
-6.3637624451475405,-6.371971868711945,-6.294162644894101,-6.428937657796945,-5.753130643259616
-162.53025190586555,-159.56382412560328,-159.85202552082703,-157.44441738078632,-160.3215725519569
-168.629074415992,-174.02391364110815,-174.35166776236738,-176.3864862028779,-175.59627478402086
-7.308211349942097,-7.544930453084106,-6.9070905537736795,-7.5827211161754215,-7.947159348281232
-160.81608553553158,-173.27687391219686,-63.60238410955911,-163.0783639553941,-174.3654383638203
-121.94570615530144,-174.83262986223573,-174.09752311875482,-175.01285433076563,-176.09970454219936
-8.945465492045482,-8.295562340417863,-8.753048976708872,-9.440300910519012,-8.442651037946929
-24.246901630552347,-40.38106440179781,-160.70528502051062,-156.7755456629279,-40.66257265973839
-174.15918536477523,-158.69100603578548,-159.61838864948157,-162.26311764560478,-159.84448286086612
-174.95571449634022,-176.0739760175605,-174.83302840677555,-173.78939838636913,-175.4490076843762
-8.746749343829789,-117.60477387082732,-28.09909820280155,-27.3495455805351,-26.399946327199704
-36.66742459248207,-160.44958272046952,-144.5683576933772,-161.79461794728604,-160.1702786829745
-174.26303574113882,-176.7576981936675,-174.10290926915067,-174.7993412859091,-175.120149522837
-7.525480855558287,-10.557355376884576,-10.336803979271005,-10.882085176161635,-8.72242302447613
-7.710136396597914,-10.657588320259656,-7.324493280321218,-27.23016333101056,-10.617040285529512
-28.57500894578391,-32.41758470969002,-12.323722326049793,-27.527190235775894,-10.986552903299783
-158.41378108946952,-163.4320134242932,-52.87413643056523,-158.46071322161197,-158.1104579166641
-14.161267850306443,-47.236273310503236,-47.908561140321986,-42.99142990781576,-46.664105461727516
5.036590400389853,39.18894082434665,36.68977906191713,42.90237988044501,37.42276951876873
-58.60820429996528,-56.63003372850373,-57.35222484898126,-58.61231302010929,-56.39025260955228
-6.166179827264184,-5.045181701483852,-5.285425786141273,-5.062227269795081,-4.454634349236157
