V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
-589175.5491769862,-188751.45562103335,-779637.6586569166,401614.378502375,-534731.7895004704,-208892.3665300971,-683948.8667405422,488989.4767096338,1477798.0833935922,-1130365.9929881028,395909.2241365526,49338.660718663275,2334557.196335748,311085.3139278204,-993702.6233501558,492360.2496831619,-164121.26672807368,-302176.70808462217,187975.01708589424,-264716.6916853126,506922.97406010045,-412318.60511002736,309715.7627798155,218595.7242213803,-936113.0182168647,1123481.5781044294,-1350509.3557315017,1338546.6460464888,241254.5981098929,704501.876971811
-73423.43278840839,-23522.148691978844,-97159.08039371045,50048.70628806528,-66638.9375665898,-26032.25991652963,-85234.73761716185,60938.09563064013,184165.28676223714,-140867.7914521018,49338.660718663275,6149.051085735226,290934.7649719306,38767.46953046182,-123836.25634287456,61358.55470397124,-20452.73742866605,-37657.29904174365,23425.972271192284,-32989.819943208815,63173.526486794035,-51384.22650569655,38597.13291503817,27241.859963317544,-116659.3111035532,140009.17931896355,-168302.00353361428,166811.49503601235,30064.710831591667,87796.2556543586
-3474194.9273249195,-1113010.6945256765,-4597292.860753031,2368202.191098235,-3153156.4032777455,-1231777.3936115056,-4033045.8433816503,2883422.9764982853,8714139.475337027,-6665435.173612678,2334557.196335748,290934.7649719306,13766197.170194268,1834377.0961871764,-5859569.737654135,2903302.8964764224,-967773.5508884744,-1781845.9309979104,1108434.0186115897,-1560958.065259033,2989174.756388293,-2431320.6638617567,1826300.4633714291,1288995.7205619982,-5519982.695287931,6624839.240543587,-7963556.810598543,7893014.304706033,1422605.7330460025,4154241.2677229336
-462944.53089389054,-148311.51244111772,-612599.9388062216,315568.98214558675,-420165.11699353554,-164137.17028781524,-537412.186258904,384223.289624592,1161178.5058683436,-888184.0770122979,311085.3139278204,38767.46953046182,1834377.0961871764,244435.29940459938,-780801.1806679418,386871.67140673177,-128958.32831219937,-237435.35195996522,147701.01716088096,-208000.5986895777,398314.1969180468,-323978.55824559013,243358.88213083253,171761.30908544923,-735550.2957137036,882775.1647396261,-1061161.8499857488,1051761.8628494365,189566.15249614645,553561.5703145469
1478788.0097008084,473752.1579298867,1956833.8077349085,-1008023.0920976156,1342138.2222654647,524304.8887983724,1716662.3735553613,-1227326.9851101302,-3709166.0087395567,2837136.739638661,-993702.6233501558,-123836.25634287456,-5859569.737654135,-780801.1806679418,2494121.0277068135,-1235788.4265783236,411932.1181490435,758441.3033880171,-471803.9042573333,664420.2549919006,-1272339.7484471595,1034889.6598996497,-777363.4912981867,-548659.7770143573,2349575.846520077,-2819857.1516106226,3389680.9326227875,-3359654.8446934763,-605531.0614229022,-1768249.0618962655
-732710.6546968974,-234734.87516722362,-969573.0393824085,499455.6009254755,-665003.4525901882,-259782.86659950073,-850572.9631146214,608116.448422072,1837819.8096209457,-1405746.2261283372,492360.2496831619,61358.55470397124,2903302.8964764224,386871.67140673177,-1235788.4265783236,612309.1619640286,-204104.24951906453,-375792.80449183274,233769.78669106003,-329207.5439623923,630419.6680427926,-512767.8816898637,385168.4366645456,271850.36309298244,-1164169.1431145393,1397184.3081902314,-1679521.086730812,1664643.766072817,300028.61376305384,876133.2309745871
244238.5156309303,78245.69356128387,323193.1559049649,-166486.81255934894,221669.04437845273,86594.85453645205,283525.7485633458,-202707.21071092176,-612609.9621455059,468584.63580494095,-164121.26672807368,-20452.73742866605,-967773.5508884744,-128958.32831219937,411932.1181490435,-204104.24951906453,68035.41597552657,125265.30916235608,-77923.44398721698,109735.98981828665,-210141.0317164479,170923.2491099209,-128390.3972063797,-90617.08472171777,388058.7842883406,-465731.167678628,559843.5974604269,-554884.394001942,-100010.75540832026,-292045.7316725888
449687.14897499414,144064.2756269785,595056.856411668,-306531.9634914048,408132.83745355025,159436.76464846623,522022.3138669533,-373220.1925171229,-1127925.7955117594,862749.1211544742,-302176.70808462217,-37657.29904174365,-1781845.9309979104,-237435.35195996522,758441.3033880171,-375792.80449183274,125265.30916235608,230635.86924798036,-143471.32672717667,202044.13277157047,-386907.6569427107,314700.79749582655,-236389.77267027966,-166842.60140274148,714486.2932240013,-857495.0530182895,1030773.3152215851,-1021642.5092003326,-184137.4693546249,-537709.2441326581
-279736.91176778707,-89617.7113198813,-370167.11817876407,190683.41165642664,-253887.68145169833,-99180.84356801958,-324735.3042950941,232168.54123220895,701650.2708226081,-536691.4788701519,187975.01708589424,23425.972271192284,1108434.0186115897,147701.01716088096,-471803.9042573333,233769.78669106003,-77923.44398721698,-143471.32672717667,89249.82890280064,-125686.65821460873,240684.18598400208,-195766.94208383156,147050.95969168944,103788.32936994215,-444460.8962639363,533422.1206803252,-641214.1458347862,635534.3250307854,114545.43370215477,334493.96667966404
393940.9353431071,126204.50415121291,521289.72030249774,-268530.71635883,357538.7208819549,139671.94459886142,457310.3266073583,-326952.3252795372,-988102.8184925581,755798.7080300405,-264716.6916853126,-32989.819943208815,-1560958.065259033,-208000.5986895777,664420.2549919006,-329207.5439623923,109735.98981828665,202044.13277157047,-125686.65821460873,176999.11729896616,-338944.8101514157,275689.96530102106,-207085.2008089937,-146160.57281326584,625914.3868175895,-751194.4212494266,902993.2828510697,-894994.633242141,-161308.96604712956,-471053.07726218516
-754382.1899591453,-241677.61857480425,-998250.3561374958,514227.84240135807,-684672.5097736148,-267466.50175313355,-875730.7442606358,626102.8217735724,1892177.7976649492,-1447324.5810505175,506922.97406010045,63173.526486794035,2989174.756388293,398314.1969180468,-1272339.7484471595,630419.6680427926,-210141.0317164479,-386907.6569427107,240684.18598400208,-338944.8101514157,649065.8888901727,-527934.4168033871,396560.7088510578,279891.04769543686,-1198602.1269659188,1438509.1900894742,-1729196.864671099,1713879.6256045948,308902.420179067,902047.0789154
613595.5667138326,196574.30114186325,811951.9517656534,-418259.239479948,556895.8182798959,217550.515587753,712298.1014455102,-509256.1720072871,-1539051.2355737519,1177218.473809479,-412318.60511002736,-51384.22650569655,-2431320.6638617567,-323978.55824559013,1034889.6598996497,-512767.8816898637,170923.2491099209,314700.79749582655,-195766.94208383156,275689.96530102106,-527934.4168033871,429409.5060964618,-322552.67072822654,-227656.73571358252,974913.2618604322,-1170047.5071455818,1406486.130101242,-1394027.7560343845,-251252.80597540436,-733703.3627493079
-460906.06738323666,-147658.34544403467,-609902.6428033622,314178.85980849585,-418315.2686192125,-163414.3857793636,-535046.2809502799,382531.4950909264,1156066.4797215597,-884273.8746157048,309715.7627798155,38597.13291503817,1826300.4633714291,243358.88213083253,-777363.4912981867,385168.4366645456,-128390.3972063797,-236389.77267027966,147050.95969168944,-207085.2008089937,396560.7088510578,-322552.67072822654,242287.49535016195,171005.2299449979,-732311.7365831101,878888.2593913764,-1056489.8020958572,1047131.4873844351,188731.01734309137,551124.696071355
-325305.56785602606,-104216.3357702108,-430466.6389152722,221745.67307588737,-295245.4306436314,-115337.24938312292,-377633.9114400974,269988.3897989154,815947.4587642546,-624117.273253133,218595.7242213803,27241.859963317544,1288995.7205619982,171761.30908544923,-548659.7770143573,271850.36309298244,-90617.08472171777,-166842.60140274148,103788.32936994215,-146160.57281326584,279891.04769543686,-227656.73571358252,171005.2299449979,120695.1600975268,-516862.68818586774,620315.5788453646,-745666.5784881075,739061.4044857934,133204.88403610062,388982.178021911
1393085.9537593774,446296.1070062216,1843426.8474560203,-949603.9456496544,1264355.6119919575,493919.2457148401,1617174.4996593161,-1156197.767171225,-3494203.8689650623,2672712.478561161,-936113.0182168647,-116659.3111035532,-5519982.695287931,-735550.2957137036,2349575.846520077,-1164169.1431145393,388058.7842883406,714486.2932240013,-444460.8962639363,625914.3868175895,-1198602.1269659188,974913.2618604322,-732311.7365831101,-516862.68818586774,2213407.8671697867,-2656434.305525138,3193234.4924296928,-3164948.3375532986,-570437.8364108301,-1665771.5434877793
-1671920.2804833902,-535625.0335598908,-2212399.530859876,1139673.0949219393,-1517423.631447887,-592780.0741642885,-1940861.1434121889,1387617.7747438655,4193588.761384733,-3207671.1651941314,1123481.5781044294,140009.17931896355,6624839.240543587,882775.1647396261,-2819857.1516106226,1397184.3081902314,-465731.167678628,-857495.0530182895,533422.1206803252,-751194.4212494266,1438509.1900894742,-1170047.5071455818,878888.2593913764,620315.5788453646,-2656434.305525138,3188135.1805866067,-3832378.763553629,3798430.916396087,684614.6895382302,1999185.0593778307
2009774.1434260635,643861.2886779498,2659470.948445588,-1369972.0846201908,1824057.9567083784,712566.3318795012,2333062.1048673,-1668020.48265147,-5041010.874734608,3855863.36817071,-1350509.3557315017,-168302.00353361428,-7963556.810598543,-1061161.8499857488,3389680.9326227875,-1679521.086730812,559843.5974604269,1030773.3152215851,-641214.1458347862,902993.2828510697,-1729196.864671099,1406486.130101242,-1056489.8020958572,-745666.5784881075,3193234.4924296928,-3832378.763553629,4606808.858666218,-4566001.0951183345,-822957.5140095508,-2403172.1197631843
-1991971.1109010812,-638157.81083755,-2635912.9440392507,1357836.070755342,-1807900.213393759,-706254.1830173202,-2312395.6398949283,1653245.1082853281,4996357.294781029,-3821707.861230851,1338546.6460464888,166811.49503601235,7893014.304706033,1051761.8628494365,-3359654.8446934763,1664643.766072817,-554884.394001942,-1021642.5092003326,635534.3250307854,-894994.633242141,1713879.6256045948,-1394027.7560343845,1047131.4873844351,739061.4044857934,-3164948.3375532986,3798430.916396087,-4566001.0951183345,4525555.176926599,815667.3517745598,2381884.6898667184
-359025.38849040464,-115019.65976038456,-475086.9078522407,244732.69046070444,-325848.4647953913,-127292.61229843873,-416776.254868452,297975.3696298109,900522.5316515286,-688808.632650839,241254.5981098929,30064.710831591667,1422605.7330460025,189566.15249614645,-605531.0614229022,300028.61376305384,-100010.75540832026,-184137.4693546249,114545.43370215477,-161308.96604712956,308902.420179067,-251252.80597540436,188731.01734309137,133204.88403610062,-570437.8364108301,684614.6895382302,-822957.5140095508,815667.3517745598,147014.20179916077,429300.2790234105
-1048411.5534642795,-335874.0884187968,-1387330.1349096936,714653.9055400308,-951531.8979292618,-371714.78155931644,-1217057.494903577,870133.1951572477,2629676.822814583,-2011436.7497627926,704501.876971811,87796.2556543586,4154241.2677229336,553561.5703145469,-1768249.0618962655,876133.2309745871,-292045.7316725888,-537709.2441326581,334493.96667966404,-471053.07726218516,902047.0789154,-733703.3627493079,551124.696071355,388982.178021911,-1665771.5434877793,1999185.0593778307,-2403172.1197631843,2381884.6898667184,429300.2790234105,1253631.071000857
