nRMSE_fit,nRMSE_pre,roi_list,type,nRMSE_change
0.06890338002334594,0.13455300417392482,arsmnswanlake1_AG_1000,AG,0.06564962415057889
0.18899288378387152,0.2461816060605131,goodwater_AG_1000,AG,0.05718872227664157
0.12080867833484529,0.11331412612702697,harvardfarmnorth_AG_1000,AG,-0.00749455220781832
0.11991943025384297,0.1450995568239501,harvardfarmsouth_AG_1000,AG,0.025180126570107125
0.05932299607449419,0.16075418567372113,humnokericea_AG_1000,AG,0.10143118959922694
0.08797804783753442,0.15022528759118253,humnokericec_AG_1000,AG,0.06224723975364811
0.06560575303840913,0.22689877519739357,mandanh5_AG_1000,AG,0.16129302215898444
0.08249546051429114,0.11927127788448687,rosemountnprs_AG_1000,AG,0.036775817370195724
0.21641140833751887,0.22977620134090743,silverton_AG_1000,AG,0.013364793003388553
0.253309061089588,0.2548491247930256,southerngreatplains_AG_1000,AG,0.0015400637034376219
0.13170688109716855,0.33616447110470193,kelloggcornsoy2_AG_1000,AG,0.20445759000753339
0.14254638225431956,0.2019280081439609,kelloggmiscanthus_AG_1000,AG,0.059381625889641326
0.09415273992278347,0.11013132446672018,bullshoals_GR_1000,GR,0.015978584543936705
0.0866393885956663,0.1623227919421332,cperuvb_GR_1000,GR,0.0756834033464669
0.16879511034475303,0.20310481645419984,ibp_GR_1000,GR,0.03430970610944681
0.1015321525176685,0.0973401750303873,kansas_GR_1000,GR,-0.004191977487281201
0.14385948238290724,0.20375903459886416,kendall_GR_1000,GR,0.059899552215956914
0.15534231485321365,0.16078706249716082,lethbridge_GR_1000,GR,0.005444747643947173
0.05787216948755268,0.11423528499876145,nationalelkrefuge_GR_1000,GR,0.056363115511208775
0.05671245409375151,0.09509750217788959,oakville_GR_1000,GR,0.03838504808413808
0.14943338302384784,0.176829171162597,sevilletagrass_GR_1000,GR,0.027395788138749155
0.049844494395804906,0.08796924015751069,stjones_GR_1000,GR,0.03812474576170578
0.14624181773254083,0.14679638247794644,tonzi_GR_1000,GR,5.545647454056057e-4
0.09303034486605599,0.09510449216870852,uwmfieldsta_GR_1000,GR,0.0020741473026525264
0.13567809160891942,0.1349877807004238,vaira_GR_1000,GR,-6.903109084956116e-4
0.16610183523805208,0.16685206924161675,ahwahnee_GR_3000,GR,7.502340035646649e-4
0.25017165052405116,0.21430559007192151,glacier_GR_1000,GR,-0.035866060452129644
