site,lower,upper,range
399,40,140,100
400,40,140,100
401,40,140,100
402,40,140,100
403,40,140,100
404,40,140,100
405,40,140,100
406,40,140,100
407,40,140,100
408,40,140,100
409,40,140,100
410,40,140,100
411,40,140,100
412,40,140,100
413,40,140,100
414,40,140,100
415,40,140,100
416,40,140,100
417,40,140,100
418,40,140,100
419,40,140,100
420,40,140,100
421,40,140,100
422,40,140,100
423,40,140,100
424,40,140,100
425,40,140,100
426,40,140,100
427,40,140,100
428,40,140,100
429,40,140,100
430,40,140,100
431,40,140,100
432,40,140,100
433,40,140,100
434,40,140,100
435,40,140,100
436,40,140,100
437,40,140,100
438,40,140,100
439,40,140,100
440,40,140,100
441,40,140,100
442,40,140,100
443,40,140,100
444,40,140,100
445,40,140,100
446,40,140,100
447,40,140,100
448,40,140,100
449,40,140,100
450,40,140,100
451,40,140,100
452,40,140,100
453,40,140,100
454,40,140,100
455,40,140,100
456,40,140,100
457,40,140,100
458,40,140,100
459,40,140,100
460,40,140,100
461,40,140,100
462,40,140,100
463,40,140,100
464,40,140,100
465,40,140,100
466,40,140,100
467,40,140,100
468,40,140,100
469,40,140,100
470,40,140,100
471,40,140,100
472,40,140,100
473,40,140,100
474,40,140,100
475,40,140,100
476,40,140,100
477,40,140,100
478,40,140,100
479,40,140,100
480,40,140,100
481,40,140,100
482,40,140,100
483,40,140,100
484,40,140,100
485,40,140,100
486,40,140,100
487,40,140,100
488,40,140,100
489,40,140,100
490,40,140,100
491,40,140,100
492,40,140,100
493,40,140,100
494,40,140,100
495,40,140,100
496,40,140,100
497,40,140,100
498,40,140,100
499,40,140,100
500,40,140,100
501,40,140,100
502,40,140,100
503,40,140,100
504,40,140,100
505,40,140,100
506,40,140,100
507,40,140,100
508,40,140,100
509,40,140,100
510,40,140,100
511,40,140,100
512,40,140,100
513,40,140,100
514,40,140,100
515,40,140,100
516,40,140,100
517,40,140,100
518,40,140,100
519,40,140,100
520,40,140,100
521,40,140,100
522,40,140,100
523,40,140,100
524,40,140,100
525,40,140,100
526,40,140,100
527,40,140,100
528,40,140,100
529,40,140,100
530,40,140,100
531,40,140,100
532,40,140,100
533,40,140,100
534,40,140,100
535,40,140,100
536,40,140,100
537,40,140,100
538,40,140,100
539,40,140,100
540,40,140,100
541,40,140,100
542,40,140,100
543,40,140,100
544,40,140,100
545,40,140,100
546,40,140,100
547,40,140,100
548,40,140,100
549,40,140,100
550,40,140,100
551,40,140,100
552,40,140,100
553,40,140,100
554,40,140,100
555,40,140,100
556,40,140,100
557,40,140,100
558,40,140,100
559,40,140,100
560,40,140,100
561,40,140,100
562,40,140,100
563,40,140,100
564,40,140,100
565,40,140,100
566,40,140,100
567,40,140,100
568,40,140,100
569,40,140,100
570,40,140,100
571,40,140,100
572,40,140,100
573,40,140,100
574,40,140,100
575,40,140,100
576,40,140,100
577,40,140,100
578,40,140,100
579,40,140,100
580,40,140,100
581,40,140,100
582,40,140,100
583,40,140,100
584,40,140,100
585,40,140,100
586,40,140,100
587,40,140,100
588,40,140,100
589,40,140,100
590,40,140,100
591,40,140,100
592,40,140,100
593,40,140,100
594,40,140,100
595,40,140,100
596,40,140,100
597,40,140,100
598,40,140,100
599,40,140,100
600,40,140,100
601,40,140,100
602,40,140,100
603,40,140,100
604,40,140,100
605,40,140,100
606,40,140,100
607,40,140,100
608,40,140,100
609,40,140,100
610,40,140,100
611,40,140,100
612,40,140,100
613,40,140,100
614,40,140,100
615,40,140,100
616,40,140,100
617,40,140,100
618,40,140,100
619,40,140,100
620,40,140,100
621,40,140,100
622,40,140,100
623,40,140,100
624,40,140,100
625,40,140,100
626,40,140,100
627,40,140,100
628,40,140,100
629,40,140,100
630,40,140,100
631,40,140,100
632,40,140,100
633,40,140,100
634,40,140,100
635,40,140,100
636,40,140,100
637,40,140,100
638,40,140,100
639,40,140,100
640,40,140,100
641,40,140,100
642,40,140,100
643,40,140,100
644,40,140,100
645,40,140,100
646,40,140,100
647,40,140,100
648,40,140,100
649,40,140,100
650,40,140,100
651,40,140,100
652,40,140,100
653,40,140,100
654,40,140,100
655,40,140,100
656,40,140,100
657,40,140,100
658,40,140,100
659,40,140,100
660,40,140,100
661,40,140,100
662,40,140,100
663,40,140,100
664,40,140,100
665,40,140,100
666,40,140,100
667,40,140,100
668,40,140,100
669,40,140,100
670,40,140,100
671,40,140,100
672,40,140,100
673,40,140,100
674,40,140,100
675,40,140,100
676,40,140,100
677,40,140,100
678,40,140,100
679,40,140,100
680,40,140,100
681,40,140,100
682,40,140,100
683,40,140,100
684,40,140,100
685,40,140,100
686,40,140,100
687,40,140,100
688,40,140,100
689,40,140,100
690,40,140,100
691,40,140,100
692,40,140,100
693,40,140,100
694,40,140,100
695,40,140,100
696,40,140,100
697,40,140,100
698,40,140,100
699,40,140,100
700,40,140,100
701,40,140,100
702,40,140,100
703,40,140,100
704,40,140,100
705,40,140,100
706,40,140,100
707,40,140,100
708,40,140,100
709,40,140,100
710,40,140,100
711,40,140,100
712,40,140,100
713,40,140,100
714,40,140,100
715,40,140,100
716,40,140,100
717,40,140,100
718,40,140,100
719,40,140,100
720,40,140,100
721,40,140,100
722,40,140,100
723,40,140,100
724,40,140,100
725,40,140,100
726,40,140,100
727,40,140,100
728,40,140,100
729,40,140,100
730,40,140,100
731,40,140,100
732,40,140,100
733,40,140,100
734,40,140,100
735,40,140,100
736,40,140,100
737,40,140,100
738,40,140,100
739,40,140,100
740,40,140,100
741,40,140,100
742,40,140,100
743,40,140,100
744,40,140,100
745,40,140,100
746,40,140,100
747,40,140,100
748,40,140,100
749,40,140,100
750,40,140,100
751,40,140,100
752,40,140,100
753,40,140,100
754,40,140,100
755,40,140,100
756,40,140,100
757,40,140,100
758,40,140,100
759,40,140,100
760,40,140,100
761,40,140,100
762,40,140,100
763,40,140,100
764,40,140,100
765,40,140,100
766,40,140,100
767,40,140,100
768,40,140,100
769,40,140,100
770,40,140,100
771,40,140,100
772,40,140,100
773,40,140,100
774,40,140,100
775,40,140,100
776,40,140,100
777,40,140,100
778,40,140,100
779,40,140,100
780,40,140,100
781,40,140,100
782,40,140,100
783,40,140,100
784,40,140,100
785,40,140,100
786,40,140,100
787,40,140,100
788,40,140,100
789,40,140,100
790,40,140,100
791,40,140,100
