site,lower,upper,range
1,6.58,24.33,17.75
2,6.58,24.33,17.75
3,6.58,24.33,17.75
4,6.58,24.33,17.75
5,6.58,24.33,17.75
6,6.58,24.33,17.75
7,6.58,24.33,17.75
8,6.58,24.33,17.75
9,6.58,24.33,17.75
10,6.58,24.33,17.75
11,6.58,24.33,17.75
12,6.58,24.33,17.75
13,6.58,24.33,17.75
14,6.58,24.33,17.75
15,6.58,24.33,17.75
16,6.58,24.33,17.75
17,6.58,24.33,17.75
18,6.58,24.33,17.75
19,6.58,24.33,17.75
20,6.58,24.33,17.75
21,6.58,24.33,17.75
22,6.58,24.33,17.75
23,6.58,24.33,17.75
24,6.58,24.33,17.75
25,6.58,24.33,17.75
26,6.58,24.33,17.75
27,6.58,24.33,17.75
28,6.58,24.33,17.75
29,6.58,24.33,17.75
30,6.58,24.33,17.75
31,6.58,24.33,17.75
32,6.58,24.33,17.75
33,6.58,24.33,17.75
34,6.58,24.33,17.75
35,6.58,24.33,17.75
36,6.58,24.33,17.75
37,6.58,24.33,17.75
38,6.58,24.33,17.75
39,6.58,24.33,17.75
40,6.58,24.33,17.75
41,6.58,24.33,17.75
42,6.58,24.33,17.75
43,6.58,24.33,17.75
44,6.58,24.33,17.75
45,6.58,24.33,17.75
46,6.58,24.33,17.75
47,6.58,24.33,17.75
48,6.58,24.33,17.75
49,6.58,24.33,17.75
50,6.58,24.33,17.75
51,6.58,24.33,17.75
52,6.58,24.33,17.75
53,6.58,24.33,17.75
54,6.58,24.33,17.75
55,6.58,24.33,17.75
56,6.58,24.33,17.75
57,6.58,24.33,17.75
58,6.58,24.33,17.75
59,6.58,24.33,17.75
60,6.58,24.33,17.75
61,6.58,24.33,17.75
62,6.58,24.33,17.75
63,6.58,24.33,17.75
64,6.58,24.33,17.75
65,6.58,24.33,17.75
66,6.58,24.33,17.75
67,6.58,24.33,17.75
68,6.58,24.33,17.75
69,6.58,24.33,17.75
70,6.58,24.33,17.75
71,6.58,24.33,17.75
72,6.58,24.33,17.75
73,6.58,24.33,17.75
74,6.58,24.33,17.75
75,6.58,24.33,17.75
76,6.58,24.33,17.75
77,6.58,24.33,17.75
78,6.58,24.33,17.75
79,6.58,24.33,17.75
80,6.58,24.33,17.75
81,6.58,24.33,17.75
82,6.58,24.33,17.75
83,6.58,24.33,17.75
84,6.58,24.33,17.75
85,6.58,24.33,17.75
86,6.58,24.33,17.75
87,6.58,24.33,17.75
88,6.58,24.33,17.75
89,6.58,24.33,17.75
90,6.58,24.33,17.75
91,6.58,24.33,17.75
92,6.58,24.33,17.75
93,6.58,24.33,17.75
94,6.58,24.33,17.75
95,6.58,24.33,17.75
96,6.58,24.33,17.75
97,6.58,24.33,17.75
98,6.58,24.33,17.75
99,6.58,24.33,17.75
100,6.58,24.33,17.75
101,6.58,24.33,17.75
102,6.58,24.33,17.75
103,6.58,24.33,17.75
104,6.58,24.33,17.75
105,6.58,24.33,17.75
106,6.58,24.33,17.75
107,6.58,24.33,17.75
108,6.58,24.33,17.75
109,6.58,24.33,17.75
110,6.58,24.33,17.75
111,6.58,24.33,17.75
112,6.58,24.33,17.75
113,6.58,24.33,17.75
114,6.58,24.33,17.75
115,6.58,24.33,17.75
116,6.58,24.33,17.75
117,6.58,24.33,17.75
118,6.58,24.33,17.75
119,6.58,24.33,17.75
120,6.58,24.33,17.75
121,6.58,24.33,17.75
122,6.58,24.33,17.75
123,6.58,24.33,17.75
124,6.58,24.33,17.75
125,6.58,24.33,17.75
126,6.58,24.33,17.75
127,6.58,24.33,17.75
128,6.58,24.33,17.75
129,6.58,24.33,17.75
130,6.58,24.33,17.75
131,6.58,24.33,17.75
132,6.58,24.33,17.75
133,6.58,24.33,17.75
134,6.58,24.33,17.75
135,6.58,24.33,17.75
136,6.58,24.33,17.75
137,6.58,24.33,17.75
138,6.58,24.33,17.75
139,6.58,24.33,17.75
140,6.58,24.33,17.75
141,6.58,24.33,17.75
142,6.58,24.33,17.75
143,6.58,24.33,17.75
144,6.58,24.33,17.75
145,6.58,24.33,17.75
146,6.58,24.33,17.75
147,6.58,24.33,17.75
148,6.58,24.33,17.75
149,6.58,24.33,17.75
150,6.58,24.33,17.75
151,6.58,24.33,17.75
152,6.58,24.33,17.75
153,6.58,24.33,17.75
154,6.58,24.33,17.75
155,6.58,24.33,17.75
156,6.58,24.33,17.75
157,6.58,24.33,17.75
158,6.58,24.33,17.75
159,6.58,24.33,17.75
160,6.58,24.33,17.75
161,6.58,24.33,17.75
162,6.58,24.33,17.75
163,6.58,24.33,17.75
164,6.58,24.33,17.75
165,6.58,24.33,17.75
166,6.58,24.33,17.75
167,6.58,24.33,17.75
168,6.58,24.33,17.75
169,6.58,24.33,17.75
170,6.58,24.33,17.75
171,6.58,24.33,17.75
172,6.58,24.33,17.75
173,6.58,24.33,17.75
174,6.58,24.33,17.75
175,6.58,24.33,17.75
176,6.58,24.33,17.75
177,6.58,24.33,17.75
178,6.58,24.33,17.75
179,6.58,24.33,17.75
180,6.58,24.33,17.75
181,6.58,24.33,17.75
182,6.58,24.33,17.75
183,6.58,24.33,17.75
184,6.58,24.33,17.75
185,6.58,24.33,17.75
