site,lower,upper,range
1,-8.23,11.06,19.29
2,-8.23,11.06,19.29
3,-8.23,11.06,19.29
4,-8.23,11.06,19.29
5,-8.23,11.06,19.29
6,-8.23,11.06,19.29
7,-8.23,11.06,19.29
8,-8.23,11.06,19.29
9,-8.23,11.06,19.29
10,-8.23,11.06,19.29
11,-8.23,11.06,19.29
12,-8.23,11.06,19.29
13,-8.23,11.06,19.29
14,-8.23,11.06,19.29
15,-8.23,11.06,19.29
16,-8.23,11.06,19.29
17,-8.23,11.06,19.29
18,-8.23,11.06,19.29
19,-8.23,11.06,19.29
20,-8.23,11.06,19.29
21,-8.23,11.06,19.29
22,-8.23,11.06,19.29
23,-8.23,11.06,19.29
24,-8.23,11.06,19.29
25,-8.23,11.06,19.29
26,-8.23,11.06,19.29
27,-8.23,11.06,19.29
28,-8.23,11.06,19.29
29,-8.23,11.06,19.29
30,-8.23,11.06,19.29
31,-8.23,11.06,19.29
32,-8.23,11.06,19.29
33,-8.23,11.06,19.29
34,-8.23,11.06,19.29
35,-8.23,11.06,19.29
36,-8.23,11.06,19.29
37,-8.23,11.06,19.29
38,-8.23,11.06,19.29
39,-8.23,11.06,19.29
40,-8.23,11.06,19.29
41,-8.23,11.06,19.29
42,-8.23,11.06,19.29
43,-8.23,11.06,19.29
44,-8.23,11.06,19.29
45,-8.23,11.06,19.29
46,-8.23,11.06,19.29
47,-8.23,11.06,19.29
48,-8.23,11.06,19.29
49,-8.23,11.06,19.29
50,-8.23,11.06,19.29
51,-8.23,11.06,19.29
52,-8.23,11.06,19.29
53,-8.23,11.06,19.29
54,-8.23,11.06,19.29
55,-8.23,11.06,19.29
56,-8.23,11.06,19.29
57,-8.23,11.06,19.29
58,-8.23,11.06,19.29
59,-8.23,11.06,19.29
60,-8.23,11.06,19.29
61,-8.23,11.06,19.29
62,-8.23,11.06,19.29
63,-8.23,11.06,19.29
64,-8.23,11.06,19.29
65,-8.23,11.06,19.29
66,-8.23,11.06,19.29
67,-8.23,11.06,19.29
68,-8.23,11.06,19.29
69,-8.23,11.06,19.29
70,-8.23,11.06,19.29
71,-8.23,11.06,19.29
72,-8.23,11.06,19.29
73,-8.23,11.06,19.29
74,-8.23,11.06,19.29
75,-8.23,11.06,19.29
76,-8.23,11.06,19.29
77,-8.23,11.06,19.29
78,-8.23,11.06,19.29
79,-8.23,11.06,19.29
80,-8.23,11.06,19.29
81,-8.23,11.06,19.29
82,-8.23,11.06,19.29
83,-8.23,11.06,19.29
84,-8.23,11.06,19.29
85,-8.23,11.06,19.29
86,-8.23,11.06,19.29
87,-8.23,11.06,19.29
88,-8.23,11.06,19.29
89,-8.23,11.06,19.29
90,-8.23,11.06,19.29
91,-8.23,11.06,19.29
92,-8.23,11.06,19.29
93,-8.23,11.06,19.29
94,-8.23,11.06,19.29
95,-8.23,11.06,19.29
96,-8.23,11.06,19.29
97,-8.23,11.06,19.29
98,-8.23,11.06,19.29
99,-8.23,11.06,19.29
100,-8.23,11.06,19.29
101,-8.23,11.06,19.29
102,-8.23,11.06,19.29
103,-8.23,11.06,19.29
