stats,est_mismatch,model_predskill,theo_mismatch
corr,0.8743765663280342,0.8996429720487954,0.873705463841828
R2,0.764534379743603,0.8093574771567897,0.7633612375470639
RMSE,0.20038497831122654,0.18283672373508927,0.20554547843107332
nRMSE,0.18245935327902285,0.16648089417434517,0.18715821605006927
