temp_1_1,temp_1_2,temp_1_3,temp_1_4,temp_1_5,temp_1_6,temp_1_7,temp_1_8,temp_1_9,temp_1_10,temp_1_11,temp_1_12,temp_1_13,temp_1_14,temp_1_15,temp_1_16,temp_1_17,temp_1_18,temp_1_19,temp_1_20,temp_1_21,temp_1_22,temp_1_23,temp_1_24,temp_1_25,temp_1_26,prcp_1_1,prcp_1_2,prcp_1_3,prcp_1_4,prcp_1_5,prcp_1_6,prcp_1_7,prcp_1_8,prcp_1_9,prcp_1_10,prcp_1_11,prcp_1_12,prcp_1_13,prcp_1_14,prcp_1_15,prcp_1_16,prcp_1_17,prcp_1_18,prcp_1_19,prcp_1_20,prcp_1_21,prcp_1_22,prcp_1_23,prcp_1_24,prcp_1_25,prcp_1_26
-0.11760302077274408,-0.06623993881937236,-0.06702331422805438,-0.10046816282045463,0.09407452007694597,0.18366074660768042,0.2641981799542668,0.2761973461145752,0.3852778121913432,0.40066052340807923,0.35707361218869854,0.3212983516081945,0.3584419540184208,0.3865419868379147,0.3463920448862558,0.32300939366619175,0.22082911145693057,0.1918721186393374,0.11708137997095638,0.06384423235373494,-0.018902900563503716,-0.14258416290658568,-0.0827855219342336,-0.2713366494937546,-0.1943384872486511,-0.21018638131728928,-0.4837327111871622,-0.4808621083812005,-0.48109273302284283,-0.481190695294305,-0.4763474144129501,-0.45491699914252626,-0.47902532289217364,-0.4846673209623377,-0.48857171850606684,-0.47434367279611633,-0.4771502482195274,-0.4706327730638611,-0.4716227878257752,-0.44734434511788124,-0.4495962258262119,-0.46128926046821744,-0.43683822778287423,-0.4702820004070478,-0.4551955967321964,-0.44336038638137654,-0.4529741485107233,-0.4698093912688995,-0.49325048303862956,-0.42436042850019895,-0.49252761053626026,-0.4442550782853597
-0.12353571143628753,-0.06912498984751766,-0.06110010501296724,-0.11309975806724848,0.08647554633511607,0.17441578948410127,0.26439136303098415,0.2709580347155167,0.37911691482519505,0.4053166305438216,0.3593581877922614,0.32246346709337576,0.3544904341364707,0.3839261430053824,0.34847455162581353,0.3290788084138231,0.22170272672239624,0.19729045512924304,0.12534609313681513,0.07054511172359433,-0.019694198926397902,-0.13209575701695978,-0.07690087889846141,-0.2689603809709345,-0.20459551462172504,-0.20242213150298116,-0.48138213239472494,-0.482342828097614,-0.4798559699176473,-0.48430672490756305,-0.4723461453716035,-0.4576615683384292,-0.47608158929057526,-0.48701325988074773,-0.4866736900190707,-0.474988593873792,-0.4774755248233531,-0.47230764391876484,-0.47008292896265425,-0.44645557164114286,-0.4515910057538919,-0.45921271630529253,-0.43899387878362234,-0.46980531382862656,-0.45560824811013656,-0.4452157830476584,-0.4501218932842859,-0.4691331783703596,-0.4924942621366505,-0.4266067395526532,-0.4909201409705746,-0.44432887086845796
-0.12888332457432072,-0.07385534878328466,-0.05639393730434336,-0.12276113550170613,0.07844985043984783,0.16505460731275398,0.2640892886280395,0.268416174655817,0.3713125010393783,0.4094260780687536,0.36193773622692693,0.32471089888822496,0.35022704357048734,0.3798546646015566,0.3509425418468606,0.33375254639990387,0.22368422218186781,0.20276701310814146,0.13185221865017585,0.07724031165223792,-0.018389535149358777,-0.12097479328723575,-0.07488744670875903,-0.2651285731207132,-0.21296386649492724,-0.1940658107483885,-0.4770950611012416,-0.48483696054154046,-0.47831520732714883,-0.48547467693238716,-0.46995514023504187,-0.4616817481295993,-0.4718445092170347,-0.490661599296197,-0.483655720445101,-0.4756000721843068,-0.4774544232725365,-0.47490474842785513,-0.46730617223820636,-0.4463251169439347,-0.4543664897176781,-0.4560942378603892,-0.4426569542357118,-0.46848449521073576,-0.4553125830051145,-0.44933460529678115,-0.44591476920823647,-0.467991083560577,-0.4911869258561871,-0.43042456556094083,-0.48749669959900394,-0.44497618731241745
-0.13391321077940155,-0.07935667169478088,-0.05299494160552063,-0.12864308156786022,0.06791275300651997,0.15774579509746073,0.26220722988162776,0.2692269841282221,0.36126629451878806,0.41239681708762166,0.36456478148473564,0.32806877265637857,0.34593801219549714,0.37508939176838324,0.35395640367135534,0.33723194078960567,0.22663922927328423,0.20812773303942747,0.137008895790118,0.08309507406118541,-0.014831994389215607,-0.11002417651911427,-0.07564438480437433,-0.2605928206855233,-0.21852381749881739,-0.18532729240016854,-0.4714962304609394,-0.4882747707351682,-0.47633966447282716,-0.4853193315007599,-0.4686961979759527,-0.46778157447427043,-0.46546666665684383,-0.4935684476297221,-0.4816877753314174,-0.47630040338976365,-0.4765335997891753,-0.4772025917202288,-0.46502720554800203,-0.44692689008681524,-0.45847777451032795,-0.45131012944452675,-0.44616919537002425,-0.46701999152312645,-0.45567573156233293,-0.45365407474815367,-0.44239789429778065,-0.4661546878775952,-0.48906700694114674,-0.43657747172671935,-0.481572598147234,-0.44632649090603016
-0.13956787873592694,-0.08399126015236993,-0.0521749768927762,-0.13151472890730148,0.05529557681323662,0.15376555340709852,0.25786984166682086,0.2718195808284154,0.35049861091352075,0.41381278754467665,0.3672199608396008,0.33175593841107137,0.34208779533273626,0.37050199094203085,0.3577768844646374,0.33928728734350494,0.23009036204517158,0.21355619911668894,0.14183864490732176,0.08836534640763223,-0.010140078543127892,-0.09940388296934466,-0.07873247062477909,-0.254484759518483,-0.22308551195698526,-0.17665206402296452,-0.46678126802597847,-0.49037223664180335,-0.47597977601514224,-0.48433566037045084,-0.46831753014251826,-0.4734562061102094,-0.4593972996291321,-0.49518898548919155,-0.4805329845210756,-0.4781991239242976,-0.4745288896765973,-0.47880425562967915,-0.4636467223786818,-0.4483812456983605,-0.4633062754250208,-0.4453444110398832,-0.44975681944140083,-0.4655951330002981,-0.45677032349323543,-0.45419316407668964,-0.4437128147861882,-0.4632567121848178,-0.4857105216085213,-0.4462960392831443,-0.4719630163249109,-0.4486498423680186
-0.14733086512753107,-0.08669911342229508,-0.05369247754324876,-0.13254454319849265,0.04115311161737432,0.15145748235831188,0.2521189920856197,0.2747925602587036,0.33978957123070125,0.4142322139433462,0.37005526183824156,0.3352069608770858,0.33857100643869287,0.36672467254801544,0.36255455100471057,0.3399682372027442,0.2341795492433355,0.2187153510778301,0.1475277927579336,0.09179563290611202,-0.0035270237715796116,-0.08799300972564932,-0.08667866707901646,-0.24336666695089568,-0.2292026561558564,-0.16761147439841492,-0.4638574358256642,-0.4915488514427729,-0.4767128456640368,-0.48277764791391853,-0.46874340316805163,-0.4788650247969171,-0.4533980792960439,-0.4958473204464993,-0.47996038985200756,-0.48167597789481537,-0.4710393509122869,-0.4800300729380963,-0.46288862609638176,-0.4509790549008796,-0.467715959018172,-0.439105672592053,-0.4541373512641169,-0.4639249479376851,-0.4588152771840025,-0.45105969114809624,-0.44609155975795917,-0.4627485163568707,-0.4804461727917857,-0.4580336460715581,-0.4602363734375127,-0.45241091199078043
-0.15772164017201049,-0.08804472135954272,-0.05530338634495494,-0.13332245443706384,0.02666419852408103,0.14957013681452624,0.24506683029232224,0.27739357449244695,0.32969654420554506,0.41414271210408105,0.372782682181488,0.3382428779250335,0.33525021569774655,0.3642695810244571,0.3677922118591935,0.33967895868934145,0.23974754750841024,0.2232160288529929,0.15471170950550686,0.09159142810178536,0.0056527829424669815,-0.07447551461227096,-0.10062088149975261,-0.22726982124468864,-0.23673763099881465,-0.157421717584826,-0.4621399674199337,-0.4920399380982708,-0.4771984804366515,-0.48182069855249476,-0.47005899165765946,-0.4833136471260838,-0.448045308736613,-0.49567511949310694,-0.4798554723903995,-0.48578261031698944,-0.467010801521813,-0.4811252071071637,-0.46260129744464173,-0.4552398795348763,-0.468987872719964,-0.43494705569991793,-0.4601868972027156,-0.4579068572941667,-0.46115778268516844,-0.4484573040928721,-0.4473650954878289,-0.4624971903475017,-0.4768971443278747,-0.46882759513661876,-0.4493575592205845,-0.45644241131163876
-0.16968724341837843,-0.0881385341600143,-0.056629967919962686,-0.13310138095436666,0.011572052076243223,0.14718656493572088,0.23684027341082395,0.2789915772799397,0.32076434891425365,0.41323195807693336,0.37545582462419036,0.34101601497539935,0.3323110384142212,0.3629859600507418,0.3726950480415631,0.33946348076414457,0.24787622221510103,0.2265409035660468,0.16198167154446025,0.08832718342990124,0.015652855523757347,-0.05992427772537881,-0.1166745432488062,-0.20808054603554613,-0.24318657127920798,-0.15037054169586433,-0.4612853691276409,-0.4919437139393966,-0.47753380728750916,-0.48127342241389487,-0.4725274133092634,-0.4844249988804672,-0.44553523252202876,-0.49463794243833586,-0.4801972486439299,-0.48801523499560506,-0.4649626443067306,-0.48230868497069485,-0.46272727069311387,-0.45808940875783044,-0.46904320767283036,-0.43429650435229544,-0.4643518418497738,-0.45110076753618206,-0.46290568117690506,-0.4472261854200337,-0.4477881291217712,-0.462452468954837,-0.4743536305240061,-0.47888558715596485,-0.43910189996611426,-0.4615506401947653
-0.18306089706559914,-0.0878420357744707,-0.05849112543823024,-0.12945174813425522,-0.005082554956504611,0.1433046737385644,0.22795899305172598,0.2796293757512019,0.3126980573791209,0.41163161780864654,0.3780786500009337,0.34380949505716324,0.33002070163030994,0.3621639904584835,0.3770747475372223,0.3398746070681504,0.25842124078125395,0.22845757528962501,0.16767289693093335,0.08393286760739364,0.02599793478039914,-0.04593531920756058,-0.1324193132914919,-0.18653953743553328,-0.24876382562151117,-0.1475176962155031,-0.4608542339311009,-0.4915094214936019,-0.47778589158678136,-0.48102636427039885,-0.4740838258534976,-0.4849798770106306,-0.4453658354093743,-0.49252835387123195,-0.48047822314713595,-0.489396227582554,-0.46448524782402323,-0.48381720210139595,-0.4619140723224305,-0.4614752165833948,-0.46683365992958226,-0.43584304984903655,-0.46682736479717435,-0.44502349941804964,-0.46440855235755985,-0.4471201113950133,-0.44744526738657453,-0.46260540790034366,-0.47230692861940615,-0.48516655570530964,-0.43247092865136366,-0.46875724441678546
-0.1977405824910249,-0.08815020977186729,-0.06013428653888124,-0.12273846201438916,-0.022478642568536652,0.13755710457072726,0.21917666033067018,0.279027273028846,0.30528953461605174,0.4094412209254349,0.3809359532842829,0.3468311741098104,0.32769547201013977,0.36206945410187213,0.38045501738622073,0.3406736940481407,0.27021063514597704,0.22902145749257702,0.171957498269239,0.08092871127981376,0.03577048837169307,-0.03406902157644055,-0.14568512798856206,-0.1631727821204797,-0.25401891693099665,-0.1496642380768303,-0.4607603347910057,-0.4906502022717276,-0.4780051501943226,-0.48103011249330746,-0.475039511799209,-0.48508925714260664,-0.44683991626508895,-0.4895877577894043,-0.48075459080065897,-0.4902017865952262,-0.46548313277714926,-0.4835190674433691,-0.462432457140493,-0.4643068215555314,-0.46368496296272116,-0.43885485347565684,-0.467160968190069,-0.44044834957430373,-0.46596697046326363,-0.44811786721280683,-0.4462679379351996,-0.4619551661587194,-0.4713791270475584,-0.48892669449452214,-0.4281384510133827,-0.4766619523640467
