stats,theo_mismatch,est_mismatch,model_predskill
corr,0.9568475641765506,0.9709428449974878,0.9932970792979521
R2,0.9155572610705982,0.9427300082518156,0.9866390877418423
RMSE,0.13179954460124868,0.10848611421155181,0.048088195595978156
nRMSE,0.12526835693448254,0.10311019904206074,0.04570523569316743
