stats,theo_mismatch,est_mismatch,model_predskill
corr,0.9893186426206122,0.9653264585066714,0.9749168603934205
R2,0.9787513766366905,0.9318551714930325,0.9504628846793641
RMSE,0.06145111695098463,0.060416812849913536,0.027736087425184325
nRMSE,0.12024436867161951,0.1182204958794136,0.054272541938046835
