stats,est_mismatch,model_predskill,theo_mismatch
corr,0.8736938998428962,0.8951118496548366,0.8718715055314267
R2,0.7633410306226888,0.8012252233925028,0.7601599221576365
RMSE,0.20099214327063822,0.1849627545297741,0.20646219176047767
nRMSE,0.1820450378596419,0.16752670578599307,0.18699943641583844
