stats,theo_mismatch,est_mismatch,model_predskill
corr,0.9719567560340835,0.9748086890428601,0.9936924212704851
R2,0.944699935600299,0.9502519802334595,0.9874246280903992
RMSE,0.09670563279054742,0.09377869267449283,0.03250893028000871
nRMSE,0.09157031504357876,0.08879880297332214,0.030782622496433425
